Plot ID,PPW1341,,Sampler(s),"MFO, MNB, MMJ",,,,,Date ,20130306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quad,Type,Tree Tag No.,Species,Confidence ,Dead/ Stump,SA or Stump Height (cm),SA or Stump BD (cm),SA  Branch #,DBH (cm), X (cm),Y (cm),Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,0.83,,,80,-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

D1,TR,,PSEMEN,0,S,,0.48,,,136,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,0.91,,,164,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,1.02,,,206,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,1.28,,,9,-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,0.88,,,42,-131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,4.65,,,139,-166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,0.91,,,-31,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,0.74,,,-52,-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,1.11,,,-87,-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,0.57,,,-93,-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,0.86,,,-42,-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,0.92,,,-65,-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,0.71,,,-66,-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,0.89,,,-105,-117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,0.93,,,-156,-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,0.63,,,-172,-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,0.54,,,-147,-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,1.25,,,-122,-178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,SA,1992,PSEMEN,1,,88,0.83,1,,-45,-223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,2.97,,,-35,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,4.21,,,-162,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,8.1,,,-145,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,1.53,,,-169,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,8.1,,,-273,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,1.9,,,231,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,4.32,,,36,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,10,,,29,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,TR,,PSEMEN,0,S,,6.3,,,25,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,
