,Plot,Quad,Type,Tree Tag No.,Species,DBH
PPW1311.37,PPW1311,C4,TR,1268.2,QUEDEC,22.6
PPW1311.41,PPW1311,D4,TR,1270,QUEDEC,29.1
PPW1311.42,PPW1311,D2,TR,1271,QUEDEC,28.2
PPW1311.43,PPW1311,D2,TR,1271.1,QUEDEC,14
PPW1311.44,PPW1311,D1,TR,1272,QUEDEC,35
PPW1311.12,PPW1311,A4,TR,1259,QUEDOU,34.2
PPW1311.13,PPW1311,A4,TR,1259.1,QUEDOU,27
PPW1311.14,PPW1311,A4,TR,1259.2,QUEDOU,35.5
PPW1312.52,PPW1312,A2,TR,1330,ARBMEN,1.49
PPW1312.151,PPW1312,B3,TR,1405,ARBMEN,1.43
PPW1312.312,PPW1312,D4,TR,1556,ARBMEN,41.9
PPW1312.313,PPW1312,D4,TR,1547,ARBMEN,6.35
PPW1312.314,PPW1312,D4,TR,1556.1,ARBMEN,46.8
PPW1312.316,PPW1312,D3,TR,1557,ARBMEN,11.65
PPW1312.317,PPW1312,D2,TR,1564,ARBMEN,14
PPW1312.318,PPW1312,D2,TR,1564.1,ARBMEN,4.4
PPW1312.319,PPW1312,D2,TR,1563,ARBMEN,4.9
PPW1312.320,PPW1312,D2,TR,1559,ARBMEN,30.9
PPW1312.321,PPW1312,D2,TR,1558,ARBMEN,19.6
PPW1312.342,PPW1312,D1,TR,1593,ARBMEN,33.8
PPW1312.343,PPW1312,D1,TR,1593.1,ARBMEN,53.24
PPW1312.249,PPW1312,C1,TR,1480,HETARB,1.59
PPW1312.279,PPW1312,C2,TR,1528,HETARB,1.02
PPW1312.282,PPW1312,C2,TR,1529,HETARB,1.43
PPW1312.292,PPW1312,C3,TR,1545,HETARB,2.11
PPW1312.293,PPW1312,C3,TR,1545.1,HETARB,1.66
PPW1312.295,PPW1312,C3,TR,1545.2,HETARB,1.06
PPW1312.304,PPW1312,C4,TR,1543,HETARB,1.1
PPW1312.336,PPW1312,D1,TR,1576,HETARB,2.42
PPW1312.168,PPW1312,B2,TR,1434,PSEMEN,1.4
PPW1312.344,PPW1312,D1,TR,1584,PSEMEN,88.1
PPW1312.13,PPW1312,A1,TR,1287,QUEAGR,40
PPW1312.28,PPW1312,A1,TR,1273,QUEAGR,25
PPW1312.29,PPW1312,A1,TR,1273.1,QUEAGR,25.5
PPW1312.49,PPW1312,A2,TR,1327,QUEAGR,1.01
PPW1312.60,PPW1312,A2,TR,1299,QUEAGR,30
PPW1312.107,PPW1312,A4,TR,1385,QUEAGR,47.8
PPW1312.108,PPW1312,A4,TR,1385.1,QUEAGR,67
PPW1312.131,PPW1312,B4,TR,1378,QUEAGR,18.8
PPW1312.139,PPW1312,B4,TR,1399,QUEAGR,1.19
PPW1312.157,PPW1312,B3,TR,1400,QUEAGR,2.04
PPW1312.186,PPW1312,B2,TR,1429,QUEAGR,1.15
PPW1312.220,PPW1312,C1,TR,1482,QUEAGR,11.5
PPW1312.221,PPW1312,C1,TR,1481,QUEAGR,9
PPW1312.270,PPW1312,C2,TR,1569,QUEAGR,3.27
PPW1312.288,PPW1312,C3,TR,1535,QUEAGR,24
PPW1312.289,PPW1312,C3,TR,1538,QUEAGR,1.3
PPW1312.299,PPW1312,C4,TR,1596,QUEAGR,17.6
PPW1312.300,PPW1312,C4,TR,1596.1,QUEAGR,18.5
PPW1312.301,PPW1312,C4,TR,1596.2,QUEAGR,18
PPW1312.302,PPW1312,C4,TR,1596.3,QUEAGR,21.3
PPW1312.15,PPW1312,A1,TR,1289,UMBCAL,1.59
PPW1312.81,PPW1312,A3,TR,1347,UMBCAL,2
PPW1313.26,PPW1313,A3,TR,1732,ARBMEN,30.2
PPW1313.27,PPW1313,A3,TR,1732.1,ARBMEN,17.95
PPW1313.39,PPW1313,B3,TR,1740,ARBMEN,8.7
PPW1313.44,PPW1313,C4,TR,1746,ARBMEN,4.35
PPW1313.45,PPW1313,C4,TR,1747,ARBMEN,19.1
PPW1313.46,PPW1313,C4,TR,1749,ARBMEN,20.2
PPW1313.47,PPW1313,C4,TR,1747.1,ARBMEN,6.11
PPW1313.62,PPW1313,C2,TR,1748,ARBMEN,63
PPW1313.63,PPW1313,C2,TR,1748.1,ARBMEN,33.8
PPW1313.65,PPW1313,C2,TR,1748.2,ARBMEN,10.15
PPW1313.66,PPW1313,C1,TR,1757,ARBMEN,1.55
PPW1313.67,PPW1313,C1,TR,1757.1,ARBMEN,1.36
PPW1313.80,PPW1313,D3,TR,1765,ARBMEN,13.5
PPW1313.81,PPW1313,D3,TR,1765.1,ARBMEN,5.4
PPW1313.82,PPW1313,D3,TR,1775,ARBMEN,1.77
PPW1313.8,PPW1313,A1,TR,1723,HETARB,4.16
PPW1313.9,PPW1313,A1,TR,1723.1,HETARB,2.66
PPW1313.10,PPW1313,A1,TR,1723.2,HETARB,3.43
PPW1313.12,PPW1313,A2,TR,1725,HETARB,1.54
PPW1313.13,PPW1313,A2,TR,1726,HETARB,2.01
PPW1313.14,PPW1313,A2,TR,1726.1,HETARB,1.22
PPW1313.15,PPW1313,A2,TR,1727,HETARB,1.46
