"","Plot.ID","UTM.E","UTM.N","Slope","Aspect","Tree.Species","Tree.Number","Basal.Area_cm2","Total.Basal.Area_cm2","Percent.Cover"
"113","PPW1329","524086","4271800",NA,NA,"QUEDEC",3,1350.40574816394,24513.957431704,5.51
"114","PPW1329","524086","4271800",NA,NA,"QUEKEL",1,198.556509688509,24513.957431704,0.81
"115","PPW1330","523769","4271472","24","320","AMOCAL",13,18.7490249566239,11511.1558234304,0.16
"116","PPW1330","523769","4271472","24","320","ARBMEN",11,1609.37508458098,11511.1558234304,13.98
"117","PPW1330","523769","4271472","24","320","ARCMAN",3,10.9597601313134,11511.1558234304,0.1
"118","PPW1330","523769","4271472","24","320","FRACAL",2,3.33205170821367,11511.1558234304,0.03
"119","PPW1330","523769","4271472","24","320","HETARB",142,919.852595564499,11511.1558234304,7.99
"120","PPW1330","523769","4271472","24","320","PSEMEN",58,2277.52162740372,11511.1558234304,19.79
"121","PPW1330","523769","4271472","24","320","QUEAGR",3,1197.63669476444,11511.1558234304,10.4
"122","PPW1330","523769","4271472","24","320","QUEDEC",7,2588.62129567737,11511.1558234304,22.49
"123","PPW1330","523769","4271472","24","320","QUEGAR",8,2539.3198894655,11511.1558234304,22.06
"124","PPW1330","523769","4271472","24","320","UMBCAL",64,345.787799177709,11511.1558234304,3
"125","PPW1331","523503","4271813","24","27","HETARB",5,99.3303267424877,13011.6455057528,0.76
"126","PPW1331","523503","4271813","24","27","PSEMEN",14,4125.29081563558,13011.6455057528,31.7
"127","PPW1331","523503","4271813","24","27","QUEAGR",9,4238.6937495902,13011.6455057528,32.58
"128","PPW1331","523503","4271813","24","27","QUEDEC",1,471.435247579318,13011.6455057528,3.62
"129","PPW1331","523503","4271813","24","27","QUEGAR",1,4071.50407905237,13011.6455057528,31.29
"130","PPW1331","523503","4271813","24","27","UMBCAL",1,5.39128715282544,13011.6455057528,0.04
"131","PPW1332","524968","4271278","24","331","AESCAL",8,1221.18222484475,16355.3478103223,7.47
"132","PPW1332","524968","4271278","24","331","QUEDEC",16,11240.0078674722,16355.3478103223,68.72
"133","PPW1332","524968","4271278","24","331","UMBCAL",16,3894.15771800531,16355.3478103223,23.81
"134","PPW1333","525153","4271310","26","147","QUEAGR",12,2329.48239179685,13796.5143107881,16.88
"135","PPW1333","525153","4271310","26","147","QUEDEC",3,1852.03955512589,13796.5143107881,13.42
"136","PPW1333","525153","4271310","26","147","QUEGAR",2,2156.30280362606,13796.5143107881,15.63
"137","PPW1333","525153","4271310","26","147","QUEKEL",4,5093.93540816317,13796.5143107881,36.92
"138","PPW1333","525153","4271310","26","147","UMBCAL",8,2364.75415207613,13796.5143107881,17.14
"139","PPW1334","524885","4271274","29","334","AESCAL",4,392.705443423848,17045.9955392875,2.3
"140","PPW1334","524885","4271274","29","334","QUEGAR",31,16653.2900958636,17045.9955392875,97.7
"141","PPW1335","525087","4271051","16","331","AESCAL",4,835.958170166159,14177.3989620741,5.9
"142","PPW1335","525087","4271051","16","331","QUEDOU",14,13341.4407919079,14177.3989620741,94.1
"143","PPW1336","525463","4271059","24","238","QUEAGR",23,10983.7086491913,13724.3005624953,80.03
"144","PPW1336","525463","4271059","24","238","QUEDEC",3,1451.24301836254,13724.3005624953,10.57
"145","PPW1336","525463","4271059","24","238","QUEKEL",3,1289.34889494142,13724.3005624953,9.39
"146","PPW1337","526102","4271193","6.5","90","ARBMEN",20,444.612486582601,29093.8126711303,1.53
"147","PPW1337","526102","4271193","6.5","90","PSEMEN",20,27394.3086705299,29093.8126711303,94.16
"148","PPW1337","526102","4271193","6.5","90","QUEAGR",1,2.29658276959048,29093.8126711303,0.01
"149","PPW1337","526102","4271193","6.5","90","QUEKEL",1,1209.95495809898,29093.8126711303,4.16
"150","PPW1337","526102","4271193","6.5","90","UMBCAL",2,42.6399731491945,29093.8126711303,0.15
"151","PPW1338","524949","4269709","13","219","PSEMEN",1,35.7847038197962,13319.72453269,0.27
"152","PPW1338","524949","4269709","13","219","QUEAGR",14,13283.9398288702,13319.72453269,99.73
"153","PPW1339","524901","4269863","28","246","QUEAGR",15,12285.4573317966,15160.3414140071,81.04
