Plot ID,1345,,Sampler(s),"MK, KO, MO, AC",,,,,Date ,"20180628, 20180629",,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
B1,TR,2241.1,,,HETARB,1,1,0,0,0,,,,1.35,,0,,
B1,TR,2241.3,,,HETARB,0,0,0,0,0,,,,2.62,,,,
B2,TR,2298.1,,,HETARB,0,1,0,0,0,,,,4.7,95.9,8,,
B2,TR,2298.2,,,HETARB,0,0,0,0,0,,,,5.1,,,,
B2,TR,2298.3,,,HETARB,0,0,0,0,0,,,,3.6,,,,
B2,TR,2299,,,HETARB,0,0,0,0,0,,,,2.6,112.4,7,,
B2,TR,2299.1,,,HETARB,0,0,0,0,0,,,,,,,,dead and gone
B2,TR,1908,,,HETARB,0,0,0,0,0,,,,5.1,111.5,12,,
B2,TR,1908.1,,,HETARB,0,0,0,0,0,,,,3.2,,,,
B2,TR,1908.2,,,HETARB,0,0,0,0,0,,,,2.3,,,,
B2,TR,1908.3,,,HETARB,0,1,0,0,0,,,,3.2,93.6,7,,
B2,TR,1908.4,,,HETARB,0,0,0,0,0,,,,1.9,,,,
B2,TR,1908.5,,,HETARB,0,0,0,0,0,,,,2.8,,,,
B2,TR,1908.6,,,HETARB,0,0,0,0,0,,,,1.6,,,,
B2,TR,1908.7,,,HETARB,0,0,0,0,0,,,,1.9,99,18,,
B2,TR,1908.8,,,HETARB,0,0,0,0,0,,,,1.5,,,,
B2,TR,1908.9,,,HETARB,0,0,0,0,0,,,,2.3,98,4,,
B2,SA,2289,,,QUEAGR,0,1,,,,,0.89,0,,44.7,0,,og dead
B2,TR,2294,,,HETARB,0,1,0,0,0,,,,1.93,71.8,2,,
B2,TR,2294.1,,,HETARB,0,1,0,0,0,,,,1.73,77.2,1,,
B2,TR,1908.11,,,HETARB,0,0,0,0,0,,,,2.7,,,,might be 1909.1 b/c no 1909.0 exists
B2,TR,2292,,,HETARB,0,1,0,0,0,,,,1.16,73,3,,now a TR
B2,TR,2291,,,HETARB,0,1,0,0,0,,,,2.5,120,6,,
B2,TR,2291.1,,,HETARB,0,0,0,0,0,,,,2.6,140.2,10,,
