Plot,Subplot,Num,UTM.E,UTM.N,Species,Survival,Basal,Epicormic,Apical,PercLivingCanopy,DBH_cm,BasalResproutHeight,BasalResproutCount,Notes
2152,B3,11086,527353,4269696,QUEAGRI,1,1,1,0,2,21.2,209,2,
2152,B3,11086.1,527353,4269696,QUEAGRI,0,0,0,0,0,12,,,
2152,B3,11087,527349,4269691,QUEAGRI,0,1,0,0,0,25.4,228,3,.1 SNAG
2152,B3,99198,527350,4269698,PSEMEN,0,0,0,0,0,27,,,
2152,B3,11088,527348,4269694,QUEAGRI,1,1,1,0,1,21.5,197,2,
2152,B3,99199,527348,4269709,PSEMEN,0,0,0,0,0,38.6,,,
2152,B3,99200,527356,4260718,PSEMEN,0,0,0,0,0,33.1,,,
2152,B3,11089,527354,4269713,ARBMEN,0,1,0,0,0,21.4,500,8,
2152,B3,11089.1,527354,4269713,ARBMEN,0,1,0,0,0,23,,,
2152,B3,11089.2,527354,4269713,ARBMEN,0,1,0,0,0,18,,,
2152,B3,99201,527357,4269714,PSEMEN,0,0,0,0,0,25,,,
2152,B4/5?,99202,527358,4269715,PSEMEN,0,0,0,0,0,29.8,,,
2152,B4/5?,11090,527357,4269723,QUEAGRI,1,1,1,0,1,37.9,145.8,4,
2152,B4/5?,99265,527363,4269714,PSEMEN,0,0,0,0,0,34.8,,,
2152,B4/5?,99203,527363,4269714,PSEMEN,0,0,0,0,0,41.6,,,
2152,B4/5?,11091,527362,4269714,QUEAGRI,1,1,1,0,1,43.2,75.5,,
2152,B4/5?,99204,527367,4269727,PSEMEN,0,0,0,0,0,30.2,1,,
2152,B4/5?,99205,527367,4269726,PSEMEN,0,0,0,0,0,43.6,,,
2152,B4/5?,11092,527366,4269726,QUEAGRI,0,1,0,0,0,21,190,3,
2152,B4/5?,11092.1,527366,4269726,QUEAGRI,0,1,0,0,0,25.6,,,
2152,B4/5?,11092.2,527366,4269726,QUEAGRI,0,0,0,0,0,13.8,,,
2152,B4/5?,99206,527364,4269725,PSEMEN,0,0,0,0,0,25.5,,,
2152,B4/5?,99207,527350,4269719,PSEMEN,0,0,0,0,0,23.5,,,
2152,B4/5?,11093,527350,4269721,QUEAGRI,1,1,1,0,0,25.8,230,4,
2152,B4/5?,99208,527344,4269718,PSEMEN,0,0,0,0,0,29.9,,,
2152,?,11094,527344,4269717,QUEKEL,0,1,0,0,0,26.5,400,5,
2152,?,99209,527344,4269718,PSEMEN,0,0,0,0,0,20.4,,,
2152,?,11094.1,527344,4269717,QUEKEL,0,0,0,0,0,22.3,,,ON GROUND
2152,?,11095,527333,4269722,QUEKEL,0,1,0,0,0,42.7,450,2,
2152,?,99210,527333,4269720,PSEMEN,0,,0,0,0,21.4,,,
2152,?,11096,527341,4269729,QUEAGRI,1,1,1,0,1,32,62.5,3,
2152,?,99211,527330,4269724,PSEMEN,0,0,0,0,0,23.3,,,
2152,?,99212,527338,4269727,PSEMEN,0,0,0,0,0,21.2,,,
2152,?,11097,527341,4269731,QUEAGRI,1,1,1,0,1,26.5,235,5,
2152,B5,11098,527339,4269734,QUEAGRI,1,0,1,0,3,28,,,
2152,?,11098.1,527339,4269734,QUEAGRI,1,0,1,0,2,25.1,,,
2152,?,11098.2,527339,4269734,QUEAGRI,1,0,1,0,2,36.5,,,
2152,?,99213,527339,4269733,PSEMEN,0,0,0,0,0,28.4,,,
2152,?,11099,527329,4269729,QUEKEL,0,1,0,0,0,32.7,,,
2152,?,11099.1,527329,4269729,QUEKEL,0,1,0,0,0,21.5,300,3,
2152,?,11099.2,527329,4269729,QUEKEL,0,1,0,0,0,24,,,.3 SNAG
2152,?,99214,527329,4269729,PSEMEN,0,0,0,0,0,48.2,,,
2152,?,11100,527351,4269730,ARBMEN,0,1,0,0,0,31.5,320,5,
2152,?,11101,527351,4269735,QUEAGRI,1,1,1,0,0,31,161,1,
2152,?,11101.1,527351,4269735,QUEAGRI,1,0,1,0,0,18.7,,,
2152,?,11102,527361,4269732,QUEAGRI,1,0,1,1,3,31.2,,,
2152,?,11102.1,527361,4269732,QUEAGRI,0,1,0,0,0,27,112,1,SNAG
2152,?,11103,527355,4269736,QUEAGRI,1,1,1,1,3,26.2,246,1,
2152,?,99215,527362,4269735,PSEMEN,0,0,0,0,0,33.6,,,
2152,?,99216,527366,4269730,PSEMEN,0,0,0,0,0,30,,,
2152,?,99217,527367,4269729,PSEMEN,0,0,0,0,0,23.1,,,
2152,?,99218,527367,4269729,PSEMEN,0,0,0,0,0,22.2,,,
2152,?,99219,527367,4269729,PSEMEN,0,0,0,0,0,30.8,,,
2152,,99220,527378,4269610,PSEMEN,0,0,0,0,0,37.6,,,
2152,,99221,527381,4269708,PSEMEN,0,0,0,0,0,31.6,,,
2152,,99222,527382,4269718,PSEMEN,0,0,0,0,0,33.5,,,
2152,,99223,527385,4269712,PSEMEN,0,0,0,0,0,32.6,,,
2152,,11104,527385,4269717,UMBCAL,0,1,0,0,0,20,600,6,6 CLUSTERS OF MANY 
2152,,11104.1,527385,4269717,UMBCAL,0,1,0,0,0,12,,,
2152,,11104.2,527385,4269717,UMBCAL,0,1,0,0,0,11.5,,,
2152,,11105,527383,4269721,ARBMEN,0,1,0,0,0,36.3,550,5,
2152,,11105.1,527383,4269721,ARBMEN,0,1,0,0,0,25.2,,,
2152,,99224,527382,4269703,PSEMEN,0,0,0,0,0,38.8,,,
2152,D3,99225,527384,4269701,PSEMEN,0,0,0,0,0,40.8,,,
2152,D3,99226,527379,4269695,PSEMEN,0,0,0,0,0,31.2,,,IN C3?
2152,D3,99227,527386,4269702,PSEMEN,0,0,0,0,0,27.8,,,
2152,D3,99228,527385,4269695,QUEKEL,0,0,0,0,0,33.9,,,IN C3?
2152,C2,99229,527393,4269683,PSEMEN,0,0,0,0,0,70.2,,,
2152,C2,11107,527394,4269684,UMBCAL,0,1,0,0,0,38.1,500,11,
2152,,99230,527398,4269687,PSEMEN,0,0,0,0,0,22.2,,,
2152,,99231,527395,4269685,PSEMEN,0,0,0,0,0,37,,,
2152,,99232,527393,4269681,PSEMEN,0,0,0,0,0,42.3,,,
2152,,99233,527398,4269670,PSEMEN,0,0,0,0,0,62.9,,,
2152,,11108,527398,4269670,QUEAGRI,1,1,1,0,1,25.1,140.5,1,
2152,,11108.1,527398,4269670,QUEAGRI,1,0,1,0,1,16.2,,,
2152,,11108.2,527398,4269670,QUEAGRI,0,0,0,0,0,18.4,,,
2152,,99234,527396,4269672,QUEAGRI,0,0,0,0,0,22.7,,,
2152,,99235,527375,4269671,PSEMEN,0,0,0,0,0,44.8,,,
2152,,11109,527385,4269663,QUEAGRI,1,1,1,0,3,22.5,138.4,3,C3 AT PLOT CORNER ABOVE HOBO
2152,,11109.1,527385,4269663,QUEAGRI,1,1,1,0,3,19.7,,,
2152,,11109.2,527385,4269663,QUEAGRI,1,1,1,0,2,18.6,,,
2152,D3,11110,527338,4269661,ARBMEN,0,1,0,0,0,25.7,420,14,
2152,,11110.1,527338,4269661,ARBMEN,0,1,0,0,0,17.2,,,
2152,,11110.2,527338,4269661,ARBMEN,0,1,0,0,0,12.6,,,
2152,,11110.3,527338,4269661,ARBMEN,0,1,0,0,0,19.5,,,
2152,,11110.4,527338,4269661,ARBMEN,0,1,0,0,0,11.1,,,
2152,,11111,527390,4269661,QUEAGRI,1,1,1,0,3,21.6,59.2,3,
2152,,11112,527394,4269660,QUEAGRI,1,1,1,0,2,21.1,93.6,3,
2152,,11112.1,527394,4269660,QUEAGRI,1,1,1,0,2,21,,,
2152,,11114,527397,4269661,QUEAGRI,1,0,1,1,3,28.8,,,
2152,,11114.1,527397,4269661,QUEAGRI,0,0,0,0,0,19.7,,,
2152,,11114.2,527397,4269661,QUEAGRI,0,0,0,0,0,17.8,,,
