Plot ID,1343,,Sampler(s),,,,,,Date ,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
B1,TR,2070,,,PSEMEN,1,0,0,1,2,,,,2.08,,,0,
B1,TR,2073,,,PSEMEN,1,0,0,1,2,,,,4.6,,,0,
B1,TR,2074,,,PSEMEN,0,0,0,0,0,,,,1.62,,,0,
B1,SA,2067,,,PSEMEN,0,0,,,,,1.5,0,,,,0,
B1,SA,2063,,,ARBMEN,0,0,,,,,1.7,0,,,,0,
B1,TR,2676,,,PSEMEN,1,0,,1,3,,,,11.9,,,0,
B1,TR,2060,,,PSEMEN,1,0,,1,3,,,,14.8,,,0,
B1,SA,2068,,,PSEMEN,0,0,,,,,,,,,,0,GONE
D1,SA,2214,,,PSEMEN,0,0,,,,,,,,,,0,DEAD/GONE
D1,SA,2217,,,ARBMEN,0,0,,,,,,,,,,0,DEAD/GONE
D1,SA,2230,,,PSEMEN,0,0,,,,,,,,,,0,DEAD/GONE
D1,SA,2194,,,UMBCAL,0,1,,,,,1.06,0,,62.2,1,0,OG DEAD
D1,SA,2211,,,PSEMEN,0,0,,,,,1.82,0,0.77,,,0,
D1,SA,2209,,,PSEMEN,0,0,,,,,,,,,,0,DEAD/GONE
D1,SA,2191,,,ARBMEN,0,0,,,,,,,,,,0,DEAD/GONE
D1,SA,2210,,,PSEMEN,0,0,,,,,1.64,0,0.78,,,0,
D1,SA,2208,,,PSEMEN,0,0,,,,,0.74,0,,,,0,DEAD
D1,SA,2190,,,PSEMEN,0,0,,,,,0.47,0,,,,0,DEAD
D1,SA,2195,,,PSEMEN,0,0,,,,,,,,,,0,DEAD/GONE
D1,TR,2200,,,PSEMEN,1,0,0,1,3,,,,0.77,,,0,
D1,SA,2192,,,UMBCAL,0,0,,,,,1.01,0,,,,0,DEAD
D1,TR,2199,,,PSEMEN,1,0,0,1,2,,,,8.3,,,0,
D1,TR,2206,,,PSEMEN,1,0,0,1,2,,,,4.7,,,0,
D1,TR,2202,,,PSEMEN,0,0,0,0,0,,,,2.5,,,0,DEAD
D1,TR,2205,,,PSEMEN,0,0,0,0,0,,,,2.2,,,0,DEAD
D1,TR,2204,,,PSEMEN,1,0,0,1,3,,,,7.8,,,0,
D1,SA,2193,,,UMBCAL,0,1,,,,,1.08,0,,27.5,0,0,OG DEAD
D1,SA,2188,,,ARBMEN,0,0,,,,,,,,,,0,DEAD/GONE
D1,SA,2187,,,PSEMEN,0,0,,,,,0.88,0,,,,0,
D1,TR,2201,,,PSEMEN,1,0,0,1,3,,,,6,,,0,
D1,TR,2207,,,PSEMEN,0,0,0,0,0,,,,,,,0,DEAD/GONE
D1,TR,2203,,,PSEMEN,0,0,0,0,0,,,,,,,0,DEAD/GONE
D1,SA,2225,,,ARBMEN,0,0,,,,,0.57,0,,,,0,DEAD
D1,TR,2100,,,PSEMEN,0,0,0,0,0,,,,3.5,,,0,DEAD
D1,SA,2185,,,UMBCAL,0,1,,,,,0.64,0,,29,1,0,OG DEAD
D1,SA,2189,,,UMBCAL,0,0,,,,,,,,,,0,DEAD/GONE
