plot,date,device,quad,reading,notes
PPW1327,20220515,4080,C2,3.9,
PPW1327,20220515,4397,C3,5.5,
PPW1327,20220515,4397,C4,4.3,
PPW1327,20220515,4397,D4,10.4,
PPW1327,20220515,4397,D3,10.7,
PPW1327,20220515,4080,D2,7.8,
PPW1327,20220515,4080,D1,7.3,
PPW1328,20220514,1591,A1,4.9,
PPW1328,20220514,1591,A2,4.9,
PPW1328,20220514,1591,A3,2.6,
PPW1328,20220514,1591,A4,4.2,
PPW1328,20220514,1591,B4,15.5,
PPW1328,20220514,1591,B3,10.7,
PPW1328,20220514,1591,B2,13.5,
PPW1328,20220514,1591,B1,10.2,
PPW1328,20220514,1591,C1,10.9,
PPW1328,20220514,1591,C2,6.5,
PPW1328,20220514,1591,C3,3.2,
PPW1328,20220514,1591,C4,8.2,
PPW1328,20220514,1591,D4,4.9,
PPW1328,20220514,1591,D3,7.5,
PPW1328,20220514,1591,D2,4.2,
PPW1328,20220514,1591,D1,7.7,
PPW1329,20220512,1799,A1,2.8,
PPW1329,20220512,1799,A2,8.5,
PPW1329,20220512,1799,A3,9.3,
PPW1329,20220512,1799,A4,5.5,
PPW1329,20220512,1799,B4,8.8,
PPW1329,20220512,1799,B3,9.8,
PPW1329,20220512,1799,B2,7.4,
PPW1329,20220512,1799,B1,3.6,
PPW1329,20220512,1591,C1,5.7,
PPW1329,20220512,1591,C2,12,
PPW1329,20220512,1591,C3,10.1,
PPW1329,20220512,1591,C4,18.9,
PPW1329,20220512,1591,D4,8.2,
PPW1329,20220512,1591,D3,8.2,
PPW1329,20220512,1591,D2,12.1,
PPW1329,20220512,1591,D1,11.9,
PPW1330,20220512,1799,A1,11.6,
PPW1330,20220512,1799,A2,10.6,
PPW1330,20220512,1591,A3,10.9,
PPW1330,20220512,1591,A4,9.8,
PPW1330,20220512,1591,B4,7.7,
PPW1330,20220512,1591,B3,8.2,
PPW1330,20220512,1799,B2,7.8,
PPW1330,20220512,1799,B1,6.3,
PPW1330,20220512,1799,C1,8.7,
PPW1330,20220512,1799,C2,9.9,
PPW1330,20220512,1591,C3,5.4,
PPW1330,20220512,1591,C4,10.9,
PPW1330,20220512,1591,D4,12.9,
PPW1330,20220512,1591,D3,7.2,
PPW1330,20220512,1799,D2,12.2,
PPW1330,20220512,1799,D1,9.9,
PPW1331,20220512,1799,A1,9.6,
PPW1331,20220512,1799,A2,6.6,
PPW1331,20220512,1591,A3,8.4,
PPW1331,20220512,1591,A4,5.4,
PPW1331,20220512,1591,B4,11,
PPW1331,20220512,1591,B3,5.9,
PPW1331,20220512,1799,B2,4.8,
PPW1331,20220512,1799,B1,6,
PPW1331,20220512,1799,C1,6.1,
PPW1331,20220512,1799,C2,5.3,
PPW1331,20220512,1591,C3,8.1,
PPW1331,20220512,1591,C4,7.8,
PPW1331,20220512,1591,D4,9.2,
PPW1331,20220512,1591,D3,7.5,
PPW1331,20220512,1799,D2,2.9,
PPW1331,20220512,1799,D1,5.7,
PPW1332,20220513,1799,A1,6.1,
PPW1332,20220513,1799,A2,5.9,
PPW1332,20220513,1591,A3,5.4,
PPW1332,20220513,1591,A4,7,
PPW1332,20220513,1591,B4,5.8,
PPW1332,20220513,1591,B3,6.5,
PPW1332,20220513,1799,B2,6.8,
PPW1332,20220513,1799,B1,8.4,
PPW1332,20220513,1799,C1,6.3,
PPW1332,20220513,1799,C2,5.8,
PPW1332,20220513,1591,C3,8.7,
PPW1332,20220513,1591,C4,7.8,
PPW1332,20220513,1591,D4,6,
PPW1332,20220513,1591,D3,5.5,
PPW1332,20220513,1799,D2,5,
PPW1332,20220513,1799,D1,4.5,
PPW1333,20220513,1591,A1,4.9,
PPW1333,20220513,1591,A2,3.5,
PPW1333,20220513,1799,A3,3.7,
PPW1333,20220513,1799,A4,4.4,
PPW1333,20220513,1799,B4,3.4,
PPW1333,20220513,1799,B3,4.4,
PPW1333,20220513,1591,B2,5.3,
PPW1333,20220513,1591,B1,4.5,
PPW1333,20220513,1591,C1,5.2,
PPW1333,20220513,1591,C2,3.5,
PPW1333,20220513,1799,C3,4.2,
PPW1333,20220513,1799,C4,2.8,
PPW1333,20220513,1799,D4,3.4,
PPW1333,20220513,1799,D3,2.8,
PPW1333,20220513,1591,D2,2.8,
PPW1333,20220513,1591,D1,3.3,
PPW1334,20220513,1799,A1,7.9,
PPW1334,20220513,1799,A2,11.2,
PPW1334,20220513,1591,A3,12.2,
PPW1334,20220513,1591,A4,9.9,
PPW1334,20220513,1591,B4,11.6,
PPW1334,20220513,1591,B3,10.6,
PPW1334,20220513,1799,B2,8.7,
PPW1334,20220513,1799,B1,10.9,
PPW1334,20220513,1799,C1,7.3,
PPW1334,20220513,1799,C2,9.4,
PPW1334,20220513,1591,C3,11.2,
PPW1334,20220513,1591,C4,12.9,
PPW1334,20220513,1591,D4,13.7,
PPW1334,20220513,1591,D3,11.7,
PPW1334,20220513,1799,D2,11.8,
PPW1334,20220513,1799,D1,8.2,
PPW1335,20220511,1591,A1,7.1,
PPW1335,20220511,1591,A2,5.5,
