Plot ID,1350,,Sampler(s),"MK,DK,MO,AK",,,,,Date ,20180809,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,Notes
D2,SA,4330,,,FRACAL,0,0,,,,,,,,,,YES,DEAD/GONE
D2,SA,4331,,,FRACAL,0,0,,,,,,,,,,YES,DEAD/GONE
D2,SA,4332,,,AMOCAL,0,1,,,,,,,,80.2,5,,"OG DEAD, NO BD, TAG REPLACED"
D2,TR,4326,,,PSEMEN,0,0,0,0,0,,0.99,,1.06,,,,
D2,TR,4328,,,UMBCAL,0,1,0,0,0,,,,1.6,102.6,2,,OG DEAD
D2,SA,4317,,,UMBCAL,0,0,,,,,,,,,,YES,DEAD/GONE
D2,TR,4333,,,AMOCAL,0,1,0,0,0,,,,3.6,138,25,,
D2,,4333.1,,,AMOCAL,0,0,0,0,0,,,,2.3,,,,
D2,TS,4333.2,,,AMOCAL,0,0,,,,,0.81,,,,,,
D2,TR,4333.3,,,AMOCAL,0,1,0,0,0,,,,2.6,114.2,11,,
D2,TR,4333.4,,,AMOCAL,0,0,0,0,0,,,,1.2,,,,
D2,TR,4333.5,,,AMOCAL,0,1,0,0,0,,,,1.52,107.2,19,,
,,,,,,,,,,,,,,,,,,
C2,SA,4270,,,AMOCAL,0,1,,,,,0.65,,,94.1,3,,
C2,SA,4245,,,AMOCAL,0,1,,,,,,,,51,1,,BD UNAVAILABLE
C2,SA,4246,,,UMBCAL,0,1,,,,,1,,,28,0,,
C2,SA,4247,,,AMOCAL,0,1,,,,,,,,111.4,6,,BD UNAVAILABLE
C2,SA,4243,,,FRACAL,0,,,,,,,,,,,,"DEAD, BD UNAVAILABLE"
C2,SA,4241,,,AMOCAL,0,1,,,,,1.05,,,114.2,7,,
C2,SA,4268,,,UMBCAL,0,1,,,,,1.52,,,93.2,1,,
C2,SA,4265,,,AMOCAL,0,1,,,,,,,,111.1,7,,BD UNAVAILABLE
C2,SA,4264,,,AMOCAL,0,1,,,,,,,,71.8,4,,BD UNAVAILABLE
C2,SA,4277,,,AMOCAL,0,1,,,,,0.71,,,136,9,,
C2,SA,4248,,,PSEMEN,0,,,,,,1.61,,,,,,
C3,SA,6032,450,16,AMOCAL,1,,,,,63.5,0.42,3,,,,,NEW SA
C3,SA,4278,,,AMOCAL,0,,,,,,,,,,,,BD UNAVAILABLE
C2,SA,6033,470,441,AMOCAL,0,1,,,,,0.6,,,94.4,2,,BD @7CM
C3,SA,4274,,,AMOCAL,0,,,,,,,,,,,YES,DEAD/GONE
C3,SA,4275,,,AMOCAL,0,1,,,,,,,,90.7,6,,BD UNAVAILABLE
C3,SA,4276,,,AMOCAL,0,1,,,,,,,,94,5,,BD UNAVAILABLE
C3,TR,4271,,,PSEMEN,1,0,0,1,2,,,,33.2,,,,
C3,TR,4272,,,PSEMEN,1,0,0,1,2,,,,50.1,,,,
C3,SA,4097,,,HETARB,0,1,,,,,1.92,,,51.1,1,,NEW TAG
C3,SA,4341,,,UMBCAL,0,,,,,,,,,,,,DEAD/GONE
C3,SA,4281,,,AMOCAL,0,1,,,,,,,,47,0,,BD UNAVAILABLE
C3,SA,4273,,,UMBCAL,0,,,,,,,,,,,,DEAD/GONE
,,,,,,,,,,,,,,,,,,
D2,SA,6058,219,211,AMOCAL,0,1,,,,,0.47,,,66.2,1,,OG DEAD
D1,TR,4338,,,PSEMEN,0,0,0,0,0,,,,1.17,,,,
D1,TR,4337,,,PSEMEN,0,0,0,0,0,,,,2.8,,,,
D1,TR,4336,,,HETARB,0,1,0,0,0,,,,3.2,80.6,6,,OG DEAD
D1,TR,4336.1,,,HETARB,0,1,0,0,0,,,,3.2,118.3,16,,OG DEAD
D1,TR,4336.2,,,HETARB,0,0,0,0,0,,,,1.7,,,,OG DEAD
D1,TS,4336.3,,,HETARB,0,1,,,,,1.07,,,90.5,7,,OG DEAD
D1,SA,4236,,,FRACAL,0,1,,,,,0.64,,,124,8,,OG DEAD
D1,SA,6059,18,453,AMOCAL,0,1,,,,,0.4,,,107.2,2,,OG DEAD
D1,SA,4236,,,PSEMEN,0,0,,,,,,,,,,YES,DEAD/GONE
D1,SA,4339,,,PSEMEN,0,0,,,,,,,,,,YES,DEAD/GONE
D1,TR,4325,,,PSEMEN,0,0,0,0,0,,,,2.1,,,,
D1,SA,4342,,,HETARB,0,0,,,,,,,,,,YES,DEAD/GONE
D1,TR,4343,,,QUEAGRI,1,0,1,1,4,,,,19.5,,,,
D1,TR,4340,,,HETARB,0,1,0,0,0,,,,4.4,1165.1,23,,OG DEAD
D1,TR,4340.1,,,HETARB,0,0,0,0,0,,,,1.8,,,,OG DEAD
D1,TR,4340.2,,,HETARB,0,1,0,0,0,,,,2.8,194.5,19,,OG DEAD
D1,TR,4340.3,,,HETARB,0,0,0,0,0,,,,2.7,,,,OG DEAD
D1,TR,4340.4,,,HETARB,0,0,0,0,0,,,,2.5,,,,OG DEAD
D1,TR,4340.5,,,HETARB,0,1,0,0,0,,,,3.5,163.2,7,,OG DEAD
D1,TR,4340.6,,,HETARB,0,1,0,0,0,,,,1.7,140.8,21,,OG DEAD
D1,TR,4340.7,,,HETARB,0,0,0,0,0,,,,1.3,,,,OG DEAD
D1,TR,4340.8,,,HETARB,0,1,0,0,0,,,,5.8,84.9,5,,OG DEAD
D1,TS,4340.9,,,HETARB,0,0,,,,,1.12,,,,,,
D1,TR,4344,,,HETARB,0,0,,,,,,,,,,,"DEAD/GONE, TAG IN GROUND"
D1,TR,4344.1,,,HETARB,0,1,0,0,0,,,,2.2,69.3,7,,OG DEAD
D1,TR,4344.2,,,HETARB,0,1,0,0,0,,,,1.3,62.3,2,,OG DEAD
D1,TS,4344.3,,,HETARB,0,0,,,,,,,,,,YES,DEAD/GONE
