"Plot Title: PPW1350_10319261"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10319261, SEN S/N: 10319261)","RH, % (LGR S/N: 10319261, SEN S/N: 10319261)","Coupler Detached (LGR S/N: 10319261)","Bad Battery (LGR S/N: 10319261)","Good Battery (LGR S/N: 10319261)","End Of File (LGR S/N: 10319261)"
259,07/01/13 11:00:00 PM,25.550,49.932,,,,
260,07/01/13 11:30:00 PM,26.451,48.768,,,,
261,07/02/13 12:00:00 AM,27.235,43.549,,,,
262,07/02/13 12:30:00 AM,27.063,44.899,,,,
263,07/02/13 01:00:00 AM,27.210,44.558,,,,
264,07/02/13 01:30:00 AM,27.136,44.158,,,,
265,07/02/13 02:00:00 AM,26.867,45.396,,,,
266,07/02/13 02:30:00 AM,24.774,53.975,,,,
267,07/02/13 03:00:00 AM,23.424,57.551,,,,
268,07/02/13 03:30:00 AM,24.581,55.671,,,,
269,07/02/13 04:00:00 AM,22.729,63.317,,,,
270,07/02/13 04:30:00 AM,22.034,67.876,,,,
271,07/02/13 05:00:00 AM,21.772,67.977,,,,
272,07/02/13 05:30:00 AM,20.841,72.448,,,,
273,07/02/13 06:00:00 AM,20.555,74.132,,,,
274,07/02/13 06:30:00 AM,19.936,75.906,,,,
275,07/02/13 07:00:00 AM,19.936,76.335,,,,
276,07/02/13 07:30:00 AM,20.126,75.687,,,,
277,07/02/13 08:00:00 AM,20.555,73.669,,,,
278,07/02/13 08:30:00 AM,20.507,72.471,,,,
279,07/02/13 09:00:00 AM,21.151,68.782,,,,
280,07/02/13 09:30:00 AM,22.298,66.372,,,,
281,07/02/13 10:00:00 AM,23.857,62.775,,,,
282,07/02/13 10:30:00 AM,24.750,59.886,,,,
283,07/02/13 11:00:00 AM,26.036,55.507,,,,
284,07/02/13 11:30:00 AM,27.308,49.842,,,,
285,07/02/13 12:00:00 PM,28.369,47.396,,,,
286,07/02/13 12:30:00 PM,29.991,44.326,,,,
287,07/02/13 01:00:00 PM,31.484,41.450,,,,
288,07/02/13 01:30:00 PM,32.587,38.856,,,,
289,07/02/13 02:00:00 PM,33.209,37.806,,,,
290,07/02/13 02:30:00 PM,33.678,36.293,,,,
291,07/02/13 03:00:00 PM,32.381,38.532,,,,
292,07/02/13 03:30:00 PM,30.849,38.645,,,,
293,07/02/13 04:00:00 PM,29.565,40.246,,,,
294,07/02/13 04:30:00 PM,29.015,41.711,,,,
295,07/02/13 05:00:00 PM,26.695,47.350,,,,
296,07/02/13 05:30:00 PM,24.339,52.498,,,,
297,07/02/13 06:00:00 PM,23.978,53.517,,,,
298,07/02/13 06:30:00 PM,23.328,56.359,,,,
299,07/02/13 07:00:00 PM,22.417,57.923,,,,
300,07/02/13 07:30:00 PM,21.151,60.936,,,,
301,07/02/13 08:00:00 PM,19.817,64.986,,,,
302,07/02/13 08:30:00 PM,19.270,67.940,,,,
303,07/02/13 09:00:00 PM,18.176,70.894,,,,
304,07/02/13 09:30:00 PM,16.796,76.629,,,,
305,07/02/13 10:00:00 PM,16.344,79.088,,,,
306,07/02/13 10:30:00 PM,16.129,80.238,,,,
307,07/02/13 11:00:00 PM,15.772,81.597,,,,
308,07/02/13 11:30:00 PM,15.199,84.504,,,,
309,07/03/13 12:00:00 AM,14.577,87.883,,,,
310,07/03/13 12:30:00 AM,14.457,88.307,,,,
311,07/03/13 01:00:00 AM,14.314,89.414,,,,
312,07/03/13 01:30:00 AM,14.314,89.704,,,,
313,07/03/13 02:00:00 AM,14.218,89.443,,,,
314,07/03/13 02:30:00 AM,14.218,89.628,,,,
315,07/03/13 03:00:00 AM,14.314,89.810,,,,
316,07/03/13 03:30:00 AM,14.170,89.960,,,,
317,07/03/13 04:00:00 AM,14.266,90.800,,,,
318,07/03/13 04:30:00 AM,14.505,90.781,,,,
319,07/03/13 05:00:00 AM,14.553,90.397,,,,
320,07/03/13 05:30:00 AM,14.361,91.060,,,,
321,07/03/13 06:00:00 AM,14.314,91.363,,,,
322,07/03/13 06:30:00 AM,14.361,91.533,,,,
323,07/03/13 07:00:00 AM,14.601,91.750,,,,
324,07/03/13 07:30:00 AM,15.127,91.594,,,,
325,07/03/13 08:00:00 AM,16.106,89.693,,,,
326,07/03/13 08:30:00 AM,17.130,88.604,,,,
327,07/03/13 09:00:00 AM,18.723,83.054,,,,
328,07/03/13 09:30:00 AM,20.436,76.723,,,,
329,07/03/13 10:00:00 AM,21.867,65.579,,,,
330,07/03/13 10:30:00 AM,22.944,64.350,,,,
331,07/03/13 11:00:00 AM,23.905,62.326,,,,
332,07/03/13 11:30:00 AM,25.939,56.496,,,,
333,07/03/13 12:00:00 PM,27.038,53.124,,,,
334,07/03/13 12:30:00 PM,28.593,50.620,,,,
335,07/03/13 01:00:00 PM,29.414,47.103,,,,
336,07/03/13 01:30:00 PM,30.016,45.313,,,,
337,07/03/13 02:00:00 PM,30.192,44.119,,,,
338,07/03/13 02:30:00 PM,30.621,44.201,,,,
339,07/03/13 03:00:00 PM,30.016,43.044,,,,
340,07/03/13 03:30:00 PM,29.240,42.923,,,,
341,07/03/13 04:00:00 PM,28.642,43.021,,,,
342,07/03/13 04:30:00 PM,28.916,42.558,,,,
