plot,date,device,quad,reading
PPW1324,20150504,ack,C2,10.4
PPW1324,20150504,ack,C3,7.5
PPW1324,20150504,ack,C4,8.1
PPW1324,20150504,ack,D4,6.1
PPW1324,20150504,ack,D3,7.8
PPW1324,20150504,ack,D2,10.1
PPW1324,20150504,ack,D1,7.7
,,,,
PPW1319,20150504,ack,A1,6.8
PPW1319,20150504,ack,A2,10.3
PPW1319,20150504,ack,A3,9.9
PPW1319,20150504,ack,A4,7.2
PPW1319,20150504,ack,B4,12.8
PPW1319,20150504,ack,B3,9.2
PPW1319,20150504,ack,B2,9.3
PPW1319,20150504,ack,B1,8.5
PPW1319,20150504,ack,C1,10.3
PPW1319,20150504,ack,C2,12.4
PPW1319,20150504,ack,C3,9.3
PPW1319,20150504,ack,C4,8.1
PPW1319,20150504,ack,D4,11.2
PPW1319,20150504,ack,D3,9.9
PPW1319,20150504,ack,D2,9.5
PPW1319,20150504,ack,D1,7.9
,,,,
PPW1318,20150504,ack,A1,6.1
PPW1318,20150504,ack,A2,6.9
PPW1318,20150504,ack,A3,7.6
PPW1318,20150504,ack,A4,4.8
PPW1318,20150504,ack,B4,8.9
PPW1318,20150504,ack,B3,8.6
PPW1318,20150504,ack,B2,12.4
PPW1318,20150504,ack,B1,6.6
PPW1318,20150504,ack,C1,7.5
PPW1318,20150504,ack,C2,8.1
PPW1318,20150504,ack,C3,9.8
PPW1318,20150504,ack,C4,6.6
PPW1318,20150504,ack,D4,8.3
PPW1318,20150504,ack,D3,5.9
PPW1318,20150504,ack,D2,8.5
PPW1318,20150504,ack,D1,9.3
,,,,
PPW1302,20150504,ack,A1,11.9
PPW1302,20150504,ack,A2,11.8
PPW1302,20150504,ack,A3,12.8
PPW1302,20150504,ack,A4,6.8
PPW1302,20150504,ack,B4,10
PPW1302,20150504,ack,B3,13
PPW1302,20150504,ack,B2,10.9
PPW1302,20150504,ack,B1,17.3
PPW1302,20150504,ack,C1,14.7
PPW1302,20150504,ack,C2,10.3
PPW1302,20150504,ack,C3,11.7
PPW1302,20150504,ack,C4,9.5
PPW1302,20150504,ack,D4,14.3
PPW1302,20150504,ack,D3,15.5
PPW1302,20150504,ack,D2,19.1
PPW1302,20150504,ack,D1,13.6
,,,,
PPW1344,20150504,ack,A1,9.1
PPW1344,20150504,ack,A2,8.4
PPW1344,20150504,ack,A3,9.2
PPW1344,20150504,ack,A4,12.4
PPW1344,20150504,ack,B4,11.1
PPW1344,20150504,ack,B3,6.8
PPW1344,20150504,ack,B2,8.3
PPW1344,20150504,ack,B1,7.7
PPW1344,20150504,ack,C1,8.5
PPW1344,20150504,ack,C2,12.9
PPW1344,20150504,ack,C3,6.9
PPW1344,20150504,ack,C4,10.3
PPW1344,20150504,ack,D4,10.2
