"Plot","Quad","Type","Num","Species","SA.Stump.Height_cm","SA.Stump.BD_cm","SA.Branch.Num","DBH_cm","X_cm","Y_cm","Notes","Year","Basal.Area"
"PPW1305","B2","TS",1065.1,"UMBCAL",NA,NA,NA,11.85,176,306,NA,2014,NA
"PPW1305","B2","TS",1065.2,"UMBCAL",NA,NA,NA,7.2,176,306,NA,2014,NA
"PPW1305","B2","TS",1065.3,"UMBCAL",NA,NA,NA,11.5,176,306,NA,2014,NA
"PPW1305","B2","TS",1065.4,"UMBCAL",NA,NA,NA,8.65,176,306,NA,2014,NA
"PPW1305","B2","TR",1067,"UMBCAL",NA,NA,NA,14.4,125,116,NA,2014,162.860163162095
"PPW1305","B2","TS",1067.1,"UMBCAL",NA,NA,NA,9.3,125,116,NA,2014,NA
"PPW1305","B2","TS",1067.2,"UMBCAL",NA,NA,NA,10.9,125,116,NA,2014,NA
"PPW1305","B2","TS",1067.3,"UMBCAL",NA,NA,NA,4.3,125,116,NA,2014,NA
"PPW1305","B2","TR",1068,"UMBCAL",NA,NA,NA,16.25,280,38,NA,2014,207.394202522139
"PPW1305","B2","TR",1068.1,"UMBCAL",NA,NA,NA,15.4,280,38,NA,2014,186.265028431339
"PPW1305","B1","TR",1069,"UMBCAL",NA,NA,NA,14,117,389,NA,2014,153.9380400259
"PPW1305","B1","TR",1069.2,"UMBCAL",NA,NA,NA,9.9,117,389,NA,2014,76.9768739945839
"PPW1305","B1","TR",1069.3,"UMBCAL",NA,NA,NA,8.05,117,389,NA,2014,50.8957644835631
"PPW1305","B1","TR",1070,"UMBCAL",NA,NA,NA,7.4,146,196,NA,2014,43.0084034276443
"PPW1305","B1","SA",1072,"UMBCAL",170,1.74,2,NA,161,41,NA,2014,4.75574295900423
"PPW1305","C1","SA",1074,"UMBCAL",164,2.84,1,NA,102,102,NA,2014,6.33470742669846
"PPW1305","C1","SA",1076,"UMBCAL",64,0.58,1,NA,159,167,NA,2014,0.264207942166902
"PPW1305","C1","SA",1077,"UMBCAL",77,1.01,2,NA,177,143,NA,2014,1.60236933296347
"PPW1305","C1","TR",1075,"QUEAGR",NA,NA,NA,50.25,236,114,NA,2014,1983.17944996377
"PPW1305","C1","SA",1078,"UMBCAL",154,2.98,2,NA,398,27,NA,2014,13.9492997004694
"PPW1305","C1","SA",1079,"UMBCAL",60,0.99,2,NA,382,210,NA,2014,1.53953747989168
"PPW1305","C1","SA",1080,"UMBCAL",65,0.91,2,NA,411,244,NA,2014,1.30077643821885
"PPW1305","C1","SA",1083,"ARBMEN",53,1.73,2,NA,208,499,"madrone",2014,4.70123632646445
"PPW1305","C2","TR",1084,"QUEAGR",NA,NA,NA,34.5,203,444,NA,2014,934.820163983813
"PPW1305","C3","SA",1085,"QUEAGR",249,4.65,2,NA,109,474,NA,2014,33.9645435761227
"PPW1305","C4","TR",1086,"QUEAGR",NA,NA,NA,2.61,86,96,NA,2014,5.35021082887976
"PPW1305","C4","SA",1088,"QUEAGR",120,1.09,1,NA,183,196,NA,2014,0.933131557932508
"PPW1305","C4","SA",1087,"UMBCAL",109,1.28,1,NA,95,305,NA,2014,1.28679635091038
"PPW1305","C4","TR",1093,"QUEAGR",NA,NA,NA,2.84,358,94,NA,2014,6.33470742669846
"PPW1305","C4","SA",1089,"UMBCAL",183,2.16,1,NA,146,207,NA,2014,3.66435367114713
"PPW1305","C4","SA",1090,"UMBCAL",110,1.94,3,NA,221,349,"1090.1 REMOVED, INCORRECT TAGGING, ADDED 1 TO BRANCH NUM; 20130614 MFO ",2014,8.86777358328791
"PPW1305","C4","SA",1091,"UMBCAL",145,2.58,1,NA,100,433,"POISON OAK AND NOT A BAY?",2014,5.22792433483878
"PPW1305","D4","TR",1100,"QUEAGR",NA,NA,NA,4.68,24,309,NA,2014,17.2021047339963
"PPW1305","D4","TR",1095,"QUEAGR",NA,NA,2,6.71,79,219,NA,2014,35.3618454486231
"PPW1305","D4","SA",1098,"UMBCAL",67,1.46,1,NA,172,209,NA,2014,1.674154725098
"PPW1305","D4","SA",1199,"UMBCAL",271,2.99,1,NA,322,209,NA,2014,7.02153812058953
"PPW1305","D4","SA",1198,"QUEAGR",185,2.03,3,NA,422,179,"1198.1 REMOVED, INCORRECT TAGGING, ADDED 1 TO BRANCH NUM; 20130614 MFO ",2014,9.70964187463363
"PPW1305","D4","SA",1099,"UMBCAL",81,1.14,1,NA,291,342,NA,2014,1.02070345315132
"PPW1305","D4","TR",1197,"QUEAGR",NA,NA,3,2.28,486,413,NA,2014,4.08281381260529
"PPW1305","D3","TR",1193,"QUEAGR",NA,NA,NA,92,117,182,NA,2014,6647.610054996
"PPW1305","D3","SA",1195,"UMBCAL",118,1.2,1,NA,74,343,NA,2014,1.13097335529233
"PPW1305","D3","SA",1196,"UMBCAL",56,0.71,1,NA,130,329,NA,2014,0.395919214168654
"PPW1305","D3","SA",1194,"QUEAGR",190,1.56,1,NA,96,393,NA,2014,1.91134497044403
"PPW1305","D3","SA",1191,"UMBCAL",66,0.94,1,NA,348,115,NA,2014,0.693977817177985
