"Plot","Quad","Bedrock","Soil","Boulder","Fine","Herb","Litter","Total","Year"
"PPW1321","B3",0,5,0,0,80,25,110,2013
"PPW1321","B4",0,1,0,0,75,35,111,2013
"PPW1321","C1",0,0,0,15,65,40,120,2013
"PPW1321","C2",0,1,0,1,60,40,102,2013
"PPW1321","C3",0,5,0,10,60,45,120,2013
"PPW1321","C4",0,0,0,5,40,55,100,2013
"PPW1321","D1",0,5,0,10,70,35,120,2013
"PPW1321","D2",0,0,0,0,50,50,100,2013
"PPW1321","D3",0,1,0,1,60,40,102,2013
"PPW1321","D4",0,0,0,10,50,60,120,2013
"PPW1322","A1",0,5,10,0,75,35,125,2013
"PPW1322","A2",0,5,10,0,65,40,120,2013
"PPW1322","A3",0,5,10,0,75,35,125,2013
"PPW1322","A4",0,10,10,0,60,45,125,2013
"PPW1322","B1",0,0,15,5,75,25,120,2013
"PPW1322","B2",0,0,25,1,40,50,116,2013
"PPW1322","B3",0,5,20,5,35,60,125,2013
"PPW1322","B4",0,5,10,5,80,20,120,2013
"PPW1322","C1",0,1,15,10,50,40,116,2013
"PPW1322","C2",0,1,35,0,60,15,111,2013
"PPW1322","C3",0,10,40,0,40,25,115,2013
"PPW1322","C4",0,0,10,5,75,15,105,2013
"PPW1322","D1",0,0,10,10,50,40,110,2013
"PPW1322","D2",0,0,15,1,75,15,106,2013
"PPW1322","D3",0,0,30,0,60,35,125,2013
"PPW1322","D4",0,1,10,5,80,20,116,2013
"PPW1323","A1",0,0,5,5,20,70,100,2013
"PPW1323","A2",0,0,0,10,35,70,115,2013
"PPW1323","A3",0,1,10,0,70,35,116,2013
"PPW1323","A4",0,0,0,0,65,40,105,2013
"PPW1323","B4",0,1,0,0,45,65,111,2013
"PPW1323","B3",0,1,0,0,45,75,121,2013
"PPW1323","B2",0,0,0,10,30,75,115,2013
"PPW1323","B1",0,0,0,1,35,65,101,2013
"PPW1323","C1",0,0,0,10,30,65,105,2013
"PPW1323","C2",0,0,5,5,30,75,115,2013
"PPW1323","C3",0,1,0,1,35,65,102,2013
"PPW1323","C4",0,0,10,0,35,70,115,2013
"PPW1323","D4",0,1,15,0,30,70,116,2013
"PPW1323","D3",0,0,0,1,85,35,121,2013
"PPW1323","D2",0,0,15,5,65,30,115,2013
"PPW1323","D1",0,0,15,10,45,40,110,2013
"PPW1324","A1",0,0,1,0,75,40,116,2013
"PPW1324","A2",0,0,0,0,45,70,115,2013
"PPW1324","A3",0,1,0,0,30,80,111,2013
"PPW1324","A4",0,1,0,0,45,55,101,2013
"PPW1324","B1",0,5,0,0,55,45,105,2013
"PPW1324","B2",0,5,0,0,45,55,105,2013
"PPW1324","B3",0,5,0,0,50,50,105,2013
"PPW1324","B4",0,5,0,1,64,45,115,2013
"PPW1324","C1",0,10,0,0,55,55,120,2013
"PPW1324","C2",0,5,0,0,50,60,115,2013
"PPW1324","C3",0,0,0,0,60,60,120,2013
"PPW1324","C4",0,1,0,0,70,35,106,2013
"PPW1324","D1",0,5,0,0,55,60,120,2013
"PPW1324","D2",0,1,0,0,65,55,121,2013
"PPW1324","D3",0,1,0,0,55,65,121,2013
"PPW1324","D4",0,1,0,0,55,65,121,2013
"PPW1325","A1",0,5,0,0,45,50,100,2013
"PPW1325","A2",0,0,0,0,30,70,100,2013
"PPW1325","A3",0,10,0,1,55,35,101,2013
"PPW1325","A4",0,5,0,0,65,30,100,2013
"PPW1325","B1",0,5,0,0,45,50,100,2013
"PPW1325","B2",0,5,0,0,35,65,105,2013
"PPW1325","B3",0,5,0,1,40,55,101,2013
"PPW1325","B4",0,5,0,0,45,50,100,2013
"PPW1325","C1",0,1,0,1,60,40,102,2013
"PPW1325","C2",0,1,0,0,65,35,101,2013
"PPW1325","C3",0,1,0,0,60,40,101,2013
"PPW1325","C4",0,5,0,0,70,25,100,2013
"PPW1325","D1",0,0,0,0,50,50,100,2013
"PPW1325","D2",0,0,0,0,55,45,100,2013
"PPW1325","D3",0,0,0,0,60,40,100,2013
"PPW1325","D4",0,0,0,0,65,35,100,2013
"PPW1326","A1",0,10,0,0,15,75,100,2013
"PPW1326","A2",0,5,0,0,10,85,100,2013
"PPW1326","A3",0,1,0,0,25,75,101,2013
"PPW1326","A4",0,1,0,0,25,75,101,2013
"PPW1326","B1",0,10,0,0,10,80,100,2013
"PPW1326","B2",0,5,0,0,10,85,100,2013
"PPW1326","B3",0,1,0,0,25,75,101,2013
"PPW1326","B4",0,1,0,0,15,85,101,2013
"PPW1326","C1",0,5,0,0,5,90,100,2013
"PPW1326","C2",0,10,0,0,10,80,100,2013
"PPW1326","C3",0,1,0,0,15,85,101,2013
"PPW1326","C4",0,1,0,0,5,95,101,2013
"PPW1326","D1",0,0,0,0,5,95,100,2013
"PPW1326","D2",0,1,0,0,2,98,101,2013
"PPW1326","D3",0,1,0,0,5,95,101,2013
"PPW1326","D4",0,0,0,0,5,95,100,2013
"PPW1327","A1",0,1,0,5,60,35,101,2013
"PPW1327","A2",0,5,0,1,30,65,101,2013
"PPW1327","A3",0,1,0,5,45,50,101,2013
"PPW1327","A4",0,5,0,5,25,65,100,2013
"PPW1327","B1",0,1,5,1,70,25,102,2013
"PPW1327","B2",0,1,10,1,75,15,102,2013
"PPW1327","B3",0,1,1,15,40,45,102,2013
"PPW1327","B4",0,10,1,5,20,65,101,2013
"PPW1327","C1",0,5,1,5,75,15,101,2013
"PPW1327","C2",0,1,30,5,45,20,101,2013
"PPW1327","C3",0,0,25,10,35,30,100,2013
"PPW1327","C4",0,15,5,15,35,35,105,2013
"PPW1327","D1",0,0,10,5,65,30,110,2013
"PPW1327","D2",0,1,5,15,60,20,101,2013
"PPW1327","D3",0,10,0,15,25,55,105,2013
"PPW1327","D4",0,20,10,10,20,45,105,2013
"PPW1328","A1",0,0,0,0,5,95,100,2013
"PPW1328","A2",0,1,0,1,10,95,107,2013
"PPW1328","A3",0,0,5,1,15,90,121,2013
"PPW1328","A4",0,1,1,0,15,90,107,2013
"PPW1328","B1",0,1,5,0,5,95,106,2013
"PPW1328","B2",0,1,5,0,5,90,101,2013
"PPW1328","B3",0,1,5,0,5,90,101,2013
"PPW1328","B4",0,1,1,1,15,85,103,2013
"PPW1328","C1",0,0,0,0,1,100,101,2013
"PPW1328","C2",0,1,0,0,5,95,106,2013
"PPW1328","C3",0,1,1,0,5,95,102,2013
"PPW1328","C4",0,5,1,0,15,90,111,2013
"PPW1328","D1",0,0,1,5,10,90,106,2013
"PPW1328","D2",0,0,0,5,10,90,105,2013
